ID,Smiles_Detected,Last_Location,Location_History,Timestamp
0,0,"((224, 219), (277, 272))","[((224, 219), (277, 272))]",2018-11-17 10:59:33
1,0,"((206, 213), (278, 285))","[((209, 219), (272, 282)), ((193, 211), (262, 280)), ((206, 213), (278, 285))]",2018-11-17 10:59:34
2,0,"((168, 198), (221, 251))","[((168, 198), (221, 251))]",2018-11-17 11:00:14
3,0,"((220, 196), (272, 248))","[((220, 196), (272, 248))]",2018-11-17 11:00:14
4,0,"((248, 195), (300, 247))","[((249, 194), (301, 246)), ((246, 194), (297, 245)), ((248, 195), (300, 247))]",2018-11-17 11:00:15
5,2,"((285, 192), (335, 242))","[((290, 194), (340, 244)), ((292, 193), (341, 242)), ((291, 194), (340, 243)), ((290, 193), (340, 243)), ((294, 192), (346, 244)), ((294, 193), (344, 243)), ((285, 192), (335, 242))]",2018-11-17 11:00:18
6,0,"((101, 187), (152, 238))","[((97, 186), (150, 239)), ((99, 186), (152, 239)), ((101, 187), (152, 238))]",2018-11-17 11:00:19
7,0,"((29, 84), (264, 319))","[((98, 183), (149, 234)), ((29, 84), (264, 319))]",2018-11-17 11:00:25
8,0,"((321, 189), (393, 261))","[((321, 189), (393, 261))]",2018-11-17 11:00:25
9,6,"((301, 194), (352, 245))","[((271, 197), (322, 248)), ((291, 195), (341, 245)), ((297, 194), (346, 243)), ((299, 194), (350, 245)), ((298, 194), (348, 244)), ((303, 194), (353, 244)), ((301, 195), (351, 245)), ((301, 195), (351, 245)), ((301, 194), (352, 245))]",2018-11-17 11:00:29
10,0,"((226, 195), (286, 255))","[((226, 195), (286, 255))]",2018-11-17 11:00:36
11,0,"((110, 145), (247, 282))","[((110, 145), (247, 282))]",2018-11-17 11:00:38
12,0,"((138, 185), (186, 233))","[((138, 185), (186, 233))]",2018-11-17 11:00:52
13,0,"((31, 188), (89, 246))","[((31, 188), (89, 246))]",2018-11-17 11:00:53
14,0,"((161, 194), (223, 256))","[((161, 194), (223, 256))]",2018-11-17 11:00:56
15,1,"((376, 195), (411, 230))","[((376, 195), (411, 230))]",2018-11-17 11:01:02
16,0,"((145, 169), (201, 225))","[((145, 169), (201, 225))]",2018-11-17 11:01:53
17,0,"((34, 171), (83, 220))","[((34, 171), (83, 220))]",2018-11-17 11:01:54
18,0,"((421, 134), (548, 261))","[((421, 134), (548, 261))]",2018-11-17 11:02:30
19,0,"((158, 188), (216, 246))","[((158, 188), (216, 246))]",2018-11-17 11:02:32
20,0,"((470, 203), (528, 261))","[((470, 203), (528, 261))]",2018-11-17 11:02:59
21,0,"((547, 190), (629, 272))","[((547, 190), (629, 272))]",2018-11-17 11:03:01
22,0,"((250, 192), (321, 263))","[((248, 193), (317, 262)), ((252, 193), (321, 262)), ((250, 192), (321, 263))]",2018-11-17 11:03:04
23,0,"((255, 195), (306, 246))","[((262, 192), (314, 244)), ((255, 195), (306, 246))]",2018-11-17 11:03:29
24,0,"((298, 192), (350, 244))","[((283, 193), (331, 241)), ((298, 192), (350, 244))]",2018-11-17 11:03:30
25,0,"((222, 185), (306, 269))","[((274, 194), (327, 247)), ((222, 185), (306, 269))]",2018-11-17 11:03:32
26,1,"((302, 329), (355, 382))","[((302, 329), (355, 382))]",2018-11-17 11:03:37
27,0,"((359, 189), (453, 283))","[((359, 189), (453, 283))]",2018-11-17 11:03:57
28,0,"((445, 228), (498, 281))","[((445, 228), (498, 281))]",2018-11-17 11:05:11
29,0,"((403, 332), (467, 396))","[((403, 332), (467, 396))]",2018-11-17 11:05:15
30,0,"((231, 188), (293, 250))","[((197, 184), (266, 253)), ((209, 187), (276, 254)), ((231, 188), (293, 250))]",2018-11-17 11:05:23
31,0,"((281, 192), (345, 256))","[((286, 190), (343, 247)), ((281, 192), (345, 256))]",2018-11-17 11:05:26
32,0,"((80, 236), (152, 308))","[((80, 236), (152, 308))]",2018-11-17 11:06:28
33,0,"((140, 218), (209, 287))","[((140, 218), (209, 287))]",2018-11-17 11:06:28
34,0,"((304, 224), (346, 266))","[((304, 224), (346, 266))]",2018-11-17 11:06:30
35,0,"((274, 225), (322, 273))","[((304, 224), (347, 267)), ((278, 222), (328, 272)), ((263, 220), (313, 270)), ((269, 223), (319, 273)), ((274, 225), (322, 273))]",2018-11-17 11:06:32
36,0,"((277, 226), (319, 268))","[((277, 226), (319, 268))]",2018-11-17 11:06:36
37,5,"((284, 220), (336, 272))","[((283, 220), (333, 270)), ((286, 221), (336, 271)), ((287, 221), (337, 271)), ((287, 221), (337, 271)), ((286, 221), (336, 271)), ((284, 220), (336, 272))]",2018-11-17 11:06:38
38,0,"((165, 279), (281, 395))","[((175, 281), (291, 397)), ((165, 279), (281, 395))]",2018-11-17 11:06:47
39,1,"((161, 254), (250, 343))","[((161, 254), (250, 343))]",2018-11-17 11:16:24
40,0,"((329, 237), (382, 290))","[((329, 237), (382, 290))]",2018-11-17 11:18:58
41,0,"((366, 233), (420, 287))","[((366, 233), (420, 287))]",2018-11-17 11:18:59
42,0,"((430, 237), (500, 307))","[((430, 237), (500, 307))]",2018-11-17 11:19:00
