ID,Smiles_Detected,Last_Location,Location_History,Timestamp
0,0,"((532, 210), (629, 307))","[((532, 210), (629, 307))]",2018-11-19 09:49:57
1,0,"((395, 192), (515, 312))","[((395, 192), (515, 312))]",2018-11-19 09:49:58
2,0,"((317, 182), (436, 301))","[((317, 182), (436, 301))]",2018-11-19 09:50:00
3,5,"((257, 199), (369, 311))","[((254, 181), (367, 294)), ((252, 184), (364, 296)), ((266, 187), (379, 300)), ((268, 189), (377, 298)), ((269, 190), (378, 299)), ((269, 192), (375, 298)), ((271, 194), (372, 295)), ((268, 192), (379, 303)), ((257, 199), (369, 311))]",2018-11-19 09:50:01
4,0,"((345, 219), (379, 253))","[((345, 219), (379, 253))]",2018-11-19 09:50:10
5,3,"((306, 215), (342, 251))","[((303, 214), (343, 254)), ((298, 210), (347, 259)), ((302, 213), (343, 254)), ((303, 213), (345, 255)), ((304, 213), (345, 254)), ((307, 216), (341, 250)), ((305, 214), (343, 252)), ((306, 215), (342, 251))]",2018-11-19 09:50:11
6,1,"((305, 214), (343, 252))","[((305, 214), (343, 252))]",2018-11-19 09:50:18
7,0,"((309, 222), (344, 257))","[((309, 222), (344, 257))]",2018-11-19 09:50:19
8,0,"((341, 215), (390, 264))","[((341, 215), (390, 264))]",2018-11-19 09:50:20
9,0,"((74, 183), (125, 234))","[((74, 183), (125, 234))]",2018-11-19 09:50:20
10,0,"((374, 214), (426, 266))","[((374, 214), (426, 266))]",2018-11-19 09:50:23
11,0,"((301, 213), (346, 258))","[((320, 218), (362, 260)), ((301, 213), (346, 258))]",2018-11-19 09:50:24
12,0,"((275, 215), (319, 259))","[((275, 215), (319, 259))]",2018-11-19 09:50:26
13,1,"((252, 216), (286, 250))","[((247, 213), (291, 257)), ((244, 212), (289, 257)), ((244, 211), (291, 258)), ((244, 209), (293, 258)), ((247, 212), (289, 254)), ((247, 211), (290, 254)), ((244, 210), (292, 258)), ((245, 212), (287, 254)), ((252, 216), (286, 250))]",2018-11-19 09:50:27
