ID,Smiles_Detected,Last_Location
0,0,"((105, 107), (436, 438))"
1,0,"((124, 112), (447, 435))"
2,0,"((130, 114), (442, 426))"
3,0,"((139, 114), (445, 420))"
4,0,"((153, 114), (456, 417))"
5,0,"((146, 110), (463, 427))"
6,0,"((153, 105), (470, 422))"
7,0,"((175, 119), (474, 418))"
8,0,"((175, 119), (474, 418))"
9,0,"((47, 21), (369, 343))"
10,0,"((33, 19), (355, 341))"
11,0,"((41, 24), (368, 351))"
12,0,"((62, 22), (379, 339))"
13,0,"((50, 17), (373, 340))"
14,0,"((32, 19), (372, 359))"
15,0,"((67, 21), (378, 332))"
16,0,"((42, 11), (386, 355))"
17,0,"((42, 11), (386, 355))"
18,3,"((60, 20), (377, 337))"
19,0,"((42, 11), (386, 355))"
20,0,"((63, 17), (386, 340))"
21,3,"((42, 11), (386, 355))"
22,0,"((44, 13), (388, 357))"
23,0,"((57, 25), (374, 342))"
24,0,"((58, 24), (369, 335))"
25,0,"((58, 24), (369, 335))"
26,0,"((56, 21), (373, 338))"
27,0,"((48, 15), (383, 350))"
28,0,"((43, 15), (378, 350))"
29,2,"((60, 17), (377, 334))"
30,1,"((66, 22), (377, 333))"
